Date,412002_level,412002_flow,412005_level,412005_flow,412038_level,412038_flow,421001_level,421001_flow,421004_level,421004_flow,421011_level,421011_flow
2015-01-21,1.967,1827.019,0.64,411.328,0.863,507.007,0.421,561.104,1.645,288.914,-0.13,0
2015-01-22,1.894,1628.615,0.629,390.273,0.875,550.724,0.408,502.342,1.645,288.783,-0.13,0
2015-01-23,1.829,1460.698,0.61,347.898,0.891,609.59,0.418,552.651,1.632,262.419,-0.13,0
2015-01-24,1.793,1370.18,0.587,296.342,0.883,576.291,0.503,1010.825,1.636,271.06,-0.13,0
2015-01-25,1.929,1728.575,0.566,255.126,0.887,593.254,0.509,1049.961,1.634,265.119,-0.13,0
2015-01-26,1.875,1584.28,0.548,224.896,0.889,600.647,0.511,1060.362,1.653,305.286,-0.13,0
2015-01-27,1.754,1268.36,0.535,204.133,0.87,531.47,0.486,904.166,1.708,444.445,-0.13,0
2015-01-28,1.695,1116.379,0.524,187.268,0.853,474.117,0.472,816.448,1.73,510.439,0.049,0.668
2015-01-29,1.697,1121.513,0.516,176.016,0.868,524.55,0.453,720.803,1.664,331.898,0.097,0.813
2015-01-30,1.745,1245.015,0.508,165.976,0.882,575.574,0.396,463.261,1.662,325.297,0.045,0.302
2015-01-31,1.793,1370.134,0.502,158.258,0.883,576.479,0.38,410.129,1.635,268.269,0.007,0.153
2015-02-01,1.796,1379.229,0.494,149.379,0.883,577.576,0.425,590.771,1.592,186.567,-0.01,0.109
2015-02-02,1.811,1415.837,0.487,138.437,0.883,577.523,0.484,890.081,1.598,198.067,-0.037,0.04
2015-02-03,1.786,1351.421,0.477,119.937,0.861,499.141,0.479,859.014,1.617,232.182,-0.022,0.077
2015-02-04,1.743,1238.567,0.474,115.72,0.857,486.967,0.446,681.773,1.581,167.134,-0.065,0.003
2015-02-05,1.722,1183.453,0.477,120.565,0.872,539.466,0.459,746.732,1.556,124.884,-0.086,0
2015-02-06,1.691,1106.865,0.484,132.321,0.883,579.384,0.511,1060.527,1.686,388.674,-0.099,0
2015-02-07,1.763,1292.137,0.485,133.891,0.884,580.402,0.5,993.403,1.694,404.763,-0.111,0
2015-02-08,1.784,1349.536,0.48,125.672,0.878,561.188,0.452,709.293,1.64,277.933,-0.124,0
2015-02-09,1.77,1310.67,0.472,112.536,0.867,521.532,0.452,712.631,1.599,199.628,-0.129,0
2015-02-10,1.767,1302.12,0.46,99.357,0.879,563.133,0.436,632.108,1.604,207.028,-0.122,0
2015-02-11,1.841,1491.397,0.447,86.96,0.893,620.689,0.433,618.134,1.606,210.884,-0.103,0
2015-02-12,1.949,1777.652,0.435,77.134,0.871,536.265,0.476,854.169,1.557,126.825,-0.098,0
2015-02-13,1.926,1720.775,0.421,69.687,0.856,485.029,0.539,1237.658,1.532,88.777,-0.112,0
2015-02-14,1.727,1201.47,0.41,63.925,0.848,457.748,0.53,1182.573,1.608,219.418,-0.13,0
2015-02-15,1.588,861.869,0.405,61.665,0.831,404.904,0.504,1017.118,1.664,328.128,-0.13,0
2015-02-16,1.549,775.92,0.416,66.892,0.84,433.162,0.475,839.171,1.674,353.182,-0.13,0
2015-02-17,1.543,762.593,0.439,80.487,0.867,522.179,0.437,638.628,1.675,360.035,-0.13,0
2015-02-18,1.556,792.171,0.452,91.884,0.855,479.959,0.433,614.68,1.643,284.492,-0.13,0
2015-02-19,1.612,919.454,0.46,99.829,0.844,445.973,0.446,684.027,1.639,275.802,-0.13,0
2015-02-20,1.686,1094.166,0.467,106.68,0.843,440.034,0.452,710.98,1.665,332.589,-0.13,0
2015-02-21,1.631,963.306,0.471,111.877,0.831,405.563,0.458,741.76,1.656,311.821,-0.13,0
2015-02-22,1.574,830.531,0.474,115.2,0.813,350.62,0.458,741.421,1.639,275.826,-0.13,0
2015-02-23,1.549,777.377,0.474,115.2,0.797,310.112,0.466,783.95,1.636,270.511,-0.13,0
2015-02-24,1.51,700.698,0.481,126.501,0.765,234.814,0.477,845.304,1.63,258.275,-0.13,0
2015-02-25,1.484,652.465,0.482,129.456,0.778,264.359,0.482,877.451,1.627,252.233,-0.13,0
2015-02-26,1.474,633.37,0.462,101.838,0.744,193.997,0.484,886.962,1.601,202.852,-0.13,0
2015-02-27,1.535,754.909,0.461,100.092,0.752,209.359,0.472,823.483,1.573,152.65,-0.13,0
2015-02-28,1.612,916.968,0.463,102.651,0.792,300.13,0.437,637.438,1.608,215.745,-0.13,0
2015-03-01,1.615,923.202,0.478,121.585,0.855,482.15,0.401,478.391,1.626,250.514,-0.13,0
2015-03-02,1.617,928.946,0.468,107.772,0.784,278.247,0.398,467.247,1.644,286.213,-0.13,0
2015-03-03,1.579,844.693,0.455,94.663,0.794,301.9,0.414,527.046,1.667,334.76,-0.13,0
2015-03-04,1.496,673.046,0.446,86.51,0.803,325.721,0.397,463.096,1.627,251.592,-0.13,0
2015-03-05,1.5,680.36,0.444,84.143,0.853,475.785,0.394,452.858,1.613,223.358,-0.13,0
2015-03-06,1.491,664.222,0.443,83.777,0.824,382.945,0.436,634.719,1.585,173.67,-0.13,0
2015-03-07,1.529,741.444,0.454,93.478,0.818,366.616,0.441,656.917,1.56,130.731,-0.13,0
2015-03-08,1.649,1005.092,0.453,92.647,0.804,327.845,0.418,545.038,1.602,204.028,-0.13,0
2015-03-09,1.648,1004.175,0.421,70.648,0.796,306.956,0.392,448.24,1.601,201.467,-0.13,0
2015-03-10,1.594,874.742,0.376,49.092,0.769,243.144,0.411,517.023,1.564,137.692,-0.13,0
2015-03-11,1.597,881.71,0.352,40.544,0.783,274.78,0.422,566.047,1.613,223.694,-0.13,0
2015-03-12,1.538,755.975,0.354,41.23,0.795,303.162,0.421,558.081,1.614,225.728,-0.13,0
2015-03-13,1.5,681.251,0.369,46.521,0.804,326.017,0.424,572.871,1.611,220.068,-0.13,0
2015-03-14,1.489,660.886,0.378,49.776,0.758,222.378,0.418,547.357,1.608,214.486,-0.13,0
2015-03-15,1.487,657.301,0.39,54.792,0.753,211.891,0.415,530.776,1.629,256.275,-0.13,0
2015-03-16,1.497,674.881,0.4,59.273,0.773,252.714,0.413,524.811,1.637,273.047,-0.13,0
2015-03-17,1.53,738.597,0.405,61.439,0.747,198.79,0.424,571.739,1.638,274.818,-0.13,0
2015-03-18,1.547,772.597,0.412,65.117,0.729,164.576,0.411,515.784,1.632,262.329,-0.13,0
2015-03-19,1.56,800.417,0.409,63.642,0.736,179.078,0.404,484.951,1.617,231.79,-0.13,0
2015-03-20,1.592,870.801,0.413,65.358,0.738,181.549,0.409,503.588,1.614,226.971,-0.13,0
2015-03-21,1.554,788.995,0.41,64.165,0.735,176.255,0.41,511.143,1.633,263.141,-0.13,0
2015-03-22,1.525,728.042,0.425,71.849,0.731,170.105,0.407,497.047,1.64,279.091,-0.13,0
2015-03-23,1.527,732.352,0.436,77.813,0.731,169.518,0.414,528.61,1.633,264.182,-0.13,0
2015-03-24,1.526,730.457,0.441,82.15,0.73,166.703,0.407,498.054,1.617,232.005,-0.13,0
2015-03-25,1.517,712.679,0.449,88.429,0.713,133.847,0.4,471.226,1.611,220.971,-0.13,0
2015-03-26,1.51,700.303,0.454,93.478,0.719,144.368,0.391,442.795,1.582,167.05,-0.13,0
2015-03-27,1.514,707.93,0.455,94.378,0.729,165.696,0.393,449.869,1.604,208.663,-0.13,0
2015-03-28,1.514,707.072,0.454,93.701,0.73,166.541,0.372,388.929,1.635,267.804,-0.13,0
2015-03-29,1.519,716.791,0.455,94.056,0.72,146.203,0.36,355.828,1.63,256.642,-0.13,0
2015-03-30,1.513,706.157,0.453,92.5,0.719,144.884,0.364,365.927,1.624,244.454,-0.13,0
2015-03-31,1.508,695.968,0.448,88.124,0.721,148.906,0.364,364.522,1.622,240.965,-0.13,0
2015-04-01,1.51,699.709,0.445,85.202,0.726,159.738,0.363,363.306,1.629,255.113,-0.13,0
2015-04-02,1.514,707.47,0.438,80.24,0.727,161.411,0.369,380.245,1.619,235.527,-0.13,0
2015-04-03,1.488,659.584,0.419,68.485,0.727,162.268,0.383,420.866,1.613,224.449,-0.13,0
2015-04-04,1.469,623.962,0.419,68.345,0.721,148.454,0.398,466.592,1.609,216.319,-0.13,0
2015-04-05,1.477,638.701,0.428,73.098,0.709,127.54,0.393,449.691,1.609,217.135,-0.13,0
2015-04-06,1.468,622.778,0.429,74.078,0.699,108.64,0.386,429.944,1.605,209.172,-0.13,0
2015-04-07,1.417,527.927,0.429,73.916,0.692,97.337,0.388,433.392,1.589,180.388,-0.13,0
2015-04-08,1.4,498.021,0.432,75.49,0.69,94.806,0.388,433.52,1.58,163.532,-0.13,0
2015-04-09,1.398,493.511,0.418,68.211,0.691,96.544,0.372,388.681,1.6,200.005,-0.13,0
2015-04-10,1.411,517.779,0.396,57.288,0.676,74.78,0.365,368.248,1.583,169.014,-0.13,0
2015-04-11,1.379,460.295,0.412,64.879,0.672,69.428,0.364,365.987,1.559,129.03,-0.13,0
2015-04-12,1.365,435.062,0.419,68.456,0.671,67.199,0.341,311.194,1.566,140.831,-0.13,0
2015-04-13,1.332,373.661,0.416,67.258,0.671,67.307,0.318,260.737,1.582,167.347,-0.13,0
2015-04-14,1.331,370.297,0.417,67.487,0.658,51.96,0.316,257.433,1.567,141.852,-0.13,0
2015-04-15,1.326,362.032,0.441,81.884,0.654,47.654,0.317,258.156,1.564,137.256,-0.13,0
2015-04-16,1.337,382.042,0.451,90.932,0.661,55.347,0.318,260.144,1.583,168.583,-0.13,0
2015-04-17,1.332,373.674,0.458,97.774,0.66,54.289,0.329,283.34,1.568,143.673,-0.13,0
2015-04-18,1.32,351.522,0.456,95.899,0.655,48.401,0.347,323.865,1.564,137.043,-0.13,0
2015-04-19,1.328,365.553,0.441,81.576,0.654,47.63,0.348,326.095,1.56,131.111,-0.13,0
2015-04-20,1.331,370.386,0.438,79.058,0.652,45.905,0.371,384.198,1.575,155.787,-0.13,0
2015-04-21,1.325,360.085,0.43,74.58,0.648,42.143,0.362,360.872,1.589,180.925,-0.13,0
2015-04-22,1.298,313.188,0.426,72.151,0.646,39.48,0.346,322.78,1.61,217.998,-0.13,0
2015-04-23,1.273,269.123,0.435,77.266,0.646,39.666,0.302,233.208,1.618,234.541,-0.13,0
2015-04-24,1.281,283.537,0.432,75.33,0.647,40.294,0.27,177.719,1.618,233.589,-0.13,0
2015-04-25,1.296,308.104,0.426,72.377,0.646,39.958,0.258,159.118,1.622,241.061,-0.13,0
2015-04-26,1.289,297.252,0.42,69.248,0.649,42.525,0.279,194.183,1.606,211.554,-0.13,0
2015-04-27,1.281,282.58,0.414,65.814,0.727,161.572,0.322,268.832,1.591,183.213,-0.13,0
2015-04-28,1.244,218.214,0.405,61.647,0.719,146.084,0.329,281.699,1.572,149.383,-0.13,0
2015-04-29,1.196,142.2,0.395,57.11,0.726,158.171,0.332,288.116,1.55,115.597,0.118,32.813
2015-04-30,1.178,116.813,0.386,53.06,0.773,253.106,0.334,292.882,1.531,87.94,0.546,112.557
2015-05-01,1.177,115.457,0.377,49.438,0.76,224.21,0.335,295.647,1.513,67.571,0.481,80.271
2015-05-02,1.175,112.426,0.368,46.166,0.755,214.397,0.336,298.098,1.515,69.972,0.435,61.401
2015-05-03,1.173,110.184,0.36,43.453,0.756,216.453,0.336,296.767,1.555,122.185,0.403,48.825
2015-05-04,1.172,108.708,0.349,39.537,0.759,221.346,0.337,299.584,1.573,151.46,0.376,34.426
2015-05-05,1.171,107.677,0.339,36.317,0.76,224.446,0.338,302.662,1.576,157.469,0.353,24.456
2015-05-06,1.177,115.72,0.328,32.621,0.761,226.992,0.337,298.87,1.577,159.245,0.334,17.588
2015-05-07,1.182,121.645,0.316,29.346,0.776,258,0.339,303.95,1.578,159.425,0.321,14.002
2015-05-08,1.184,124.474,0.303,27.004,0.769,242.436,0.355,343.063,1.578,159.488,0.312,11.776
2015-05-09,1.178,117.313,0.289,24.646,0.767,239.544,0.392,446.228,1.578,159.566,0.3,9.703
2015-05-10,1.175,112.718,0.274,22.429,0.779,266.294,0.403,483.156,1.582,167.635,0.285,7.638
2015-05-11,1.182,122.621,0.258,20.108,0.781,271.457,0.404,486.927,1.58,164.018,0.269,5.878
2015-05-12,1.289,296.994,0.24,17.55,0.78,269.1,0.403,485.049,1.577,159.223,0.245,4.636
2015-05-13,1.301,316.763,0.225,15.642,0.781,270.107,0.385,425.996,1.584,171.757,0.202,3.07
2015-05-14,1.324,358.892,0.217,14.652,0.78,267.741,0.372,386.879,1.614,227.327,0.152,1.733
2015-05-15,1.327,363.11,0.226,15.73,0.775,257.107,0.374,394.264,1.64,277.912,0.111,0.993
2015-05-16,1.327,363.64,0.252,19.153,0.774,254.452,0.369,381.105,1.642,283.249,0.078,0.58
2015-05-17,1.326,362.741,0.28,23.26,0.774,253.948,0.35,331.66,1.636,270.563,0.055,0.359
2015-05-18,1.35,407.608,0.303,27.051,0.775,256.303,0.335,294.271,1.626,249.913,0.037,0.237
2015-05-19,1.357,419.701,0.314,28.874,0.774,255.344,0.326,276.666,1.62,237.629,0.026,0.202
2015-05-20,1.341,390.638,0.319,30.104,0.772,250.635,0.339,305.168,1.603,205.587,0.025,0.2
2015-05-21,1.331,371.738,0.32,30.301,0.757,218.593,0.345,319.762,1.592,185.078,0.03,0.211
2015-05-22,1.327,363.682,0.317,29.66,0.756,215.391,0.319,262.895,1.579,161.335,0.02,0.187
2015-05-23,1.309,330.789,0.305,27.371,0.753,210.832,0.306,238.889,1.569,144.332,0.01,0.161
2015-05-24,1.306,326.284,0.321,30.764,0.74,186.5,0.297,222.274,1.556,124.978,0.002,0.141
2015-05-25,1.299,314.457,0.339,36.323,0.74,186.246,0.282,196.736,1.558,127.393,-0.003,0.126
2015-05-26,1.307,328.214,0.358,42.732,0.748,200.405,0.261,164.238,1.551,117.089,-0.007,0.116
2015-05-27,1.303,321.322,0.369,46.471,0.742,190.325,0.252,151.262,1.526,82.434,-0.01,0.108
2015-05-28,1.307,328.548,0.371,47.36,0.727,161.819,0.243,138.232,1.505,59.654,-0.013,0.101
2015-05-29,1.262,248.059,0.36,43.18,0.722,151.538,0.242,136.089,1.493,51.413,-0.015,0.097
2015-05-30,1.251,229.425,0.353,40.92,0.722,150.115,0.248,144.82,1.493,51.088,0.006,0.15
2015-05-31,1.251,228.375,0.348,39.414,0.721,148.733,0.243,137.461,1.496,54.38,0.004,0.146
2015-06-01,1.252,231.069,0.361,43.637,0.732,170.764,0.242,137.02,1.512,66.447,-0.002,0.129
2015-06-02,1.252,231.034,0.366,45.564,0.731,169.444,0.24,133.542,1.504,58.947,-0.005,0.122
2015-06-03,1.249,225.52,0.367,45.643,0.709,126.861,0.238,130.782,1.491,49.884,0.131,1.509
2015-06-04,1.253,232.681,0.363,44.449,0.71,129.081,0.244,139.358,1.487,47.778,0.214,3.44
2015-06-05,1.25,227.515,0.348,39.185,0.708,124.624,0.234,125.92,1.487,48.079,0.207,3.225
2015-06-06,1.251,229.346,0.345,38.163,0.706,121.134,0.236,129.023,1.491,50.22,0.179,2.369
2015-06-07,1.25,227.481,0.338,35.938,0.705,119.167,0.231,121.639,1.491,49.829,0.153,1.73
2015-06-08,1.248,223.693,0.329,33.086,0.704,116.991,0.232,123.924,1.487,47.962,0.132,1.327
2015-06-09,1.27,262.986,0.321,30.581,0.698,107.071,0.234,125.879,1.484,46.441,0.115,1.054
2015-06-10,1.281,281.826,0.316,29.205,0.695,103.015,0.23,120.943,1.487,48.278,0.1,0.834
2015-06-11,1.224,186.193,0.309,27.952,0.715,137.778,0.231,121.63,1.497,53.661,0.094,0.759
2015-06-12,1.301,316.523,0.305,27.233,0.726,158.79,0.233,125.219,1.495,52.672,0.12,1.14
2015-06-13,1.281,282.905,0.305,27.327,0.703,116.794,0.233,124.56,1.492,50.696,0.149,1.651
2015-06-14,1.205,154.554,0.314,29.127,0.707,122.931,0.23,120.959,1.491,49.901,0.154,1.749
2015-06-15,1.209,162.741,0.331,33.478,0.731,168.829,0.27,180.053,1.531,90.017,0.155,1.774
2015-06-16,1.305,323.515,0.354,41.255,0.719,145.73,0.29,211.003,1.548,111.812,0.224,4.722
2015-06-17,1.285,289.107,0.363,44.173,0.709,127.326,0.281,195.435,1.532,93.304,0.33,16.408
2015-06-18,1.216,170.869,0.363,44.179,0.703,115.749,0.276,187.434,1.499,82.103,0.333,17.233
2015-06-19,1.231,196.77,0.356,42.018,0.702,113.677,0.261,164.99,1.828,868.557,0.344,20.791
2015-06-20,1.297,310.941,0.35,39.801,0.701,112.682,0.246,142.274,1.825,852.26,0.331,16.786
2015-06-21,1.301,316.238,0.344,37.752,0.703,115.293,0.23,120.656,1.705,439.176,0.303,10.187
2015-06-22,1.309,331.283,0.34,36.565,0.703,115.762,0.223,111.806,1.617,232.403,0.277,6.722
2015-06-23,1.302,319.529,0.35,39.958,0.709,126.916,0.227,116.997,1.564,137.354,0.263,5.424
2015-06-24,1.3,315.872,0.354,41.212,0.696,105.039,0.227,117.512,1.538,96.686,0.26,5.308
2015-06-25,1.315,342.441,0.362,43.842,0.646,40.333,0.224,113.05,1.523,78.883,0.541,121.316
2015-06-26,1.324,357.879,0.369,46.6,0.633,28.344,0.224,112.878,1.504,58.867,0.868,289.06
2015-06-27,1.32,350.901,0.361,43.819,0.633,28.525,0.22,108.757,1.491,50.229,1.164,490.592
2015-06-28,1.317,344.982,0.32,30.553,0.634,29.497,0.215,102.505,1.505,59.902,1.443,738.929
2015-06-29,1.315,341.952,0.3,26.418,0.676,76.653,0.212,98.753,1.544,108.501,1.565,867.16
2015-06-30,1.314,340.194,0.286,24.28,0.656,49.868,0.212,98.415,1.563,135.31,1.474,770.393
2015-07-01,1.31,333.399,0.275,22.575,0.683,84.097,0.214,101.207,1.542,102.226,1.277,580.063
2015-07-02,1.309,331.546,0.297,25.959,0.694,100.523,0.216,103.404,1.525,80.951,1.146,471.05
2015-07-03,1.308,329.159,0.302,26.837,0.702,114.021,0.216,103.675,1.512,66.165,1.034,392.417
2015-07-04,1.308,330.029,0.307,27.643,0.715,137.772,0.209,95.139,1.5,55.812,0.917,317.809
2015-07-05,1.306,325.251,0.309,28.082,0.716,140.225,0.204,89.742,1.494,52.024,0.804,251.767
2015-07-06,1.307,327.848,0.308,27.811,0.717,141.469,0.201,85.592,1.495,52.708,0.719,207.241
2015-07-07,1.304,322.13,0.306,27.513,0.713,133.907,0.205,90.369,1.49,49.486,0.644,170.432
2015-07-08,1.3,314.583,0.304,27.149,0.713,134.322,0.207,92.978,1.49,49.334,0.609,150.107
2015-07-09,1.345,398.506,0.307,27.598,0.709,126.578,0.217,103.93,1.508,62.417,0.685,190.812
2015-07-10,1.4,497.146,0.303,26.967,0.706,121.642,0.224,113.905,1.515,69.273,0.726,210.669
2015-07-11,1.406,507.675,0.3,26.521,0.713,132.934,0.237,130.181,1.514,68.104,0.624,158.256
2015-07-12,1.467,621.331,0.305,27.337,0.712,131.165,0.242,136.952,1.511,64.87,0.554,117.188
2015-07-13,1.66,1032.831,0.318,29.888,0.71,128.244,0.295,222.148,1.511,65.044,0.523,100.489
2015-07-14,1.58,850.122,0.33,33.268,0.722,151.964,0.296,220.629,1.516,70.186,0.502,89.665
2015-07-15,1.517,712.609,0.34,36.522,0.723,153.771,0.379,529.755,1.531,88.814,0.481,80.125
2015-07-16,2.087,2146.207,0.348,39.096,0.721,149.384,0.52,1117.406,1.74,562.288,0.475,77.627
2015-07-17,2.457,3080.967,0.352,40.534,0.72,146.719,0.53,1182.569,1.797,738.279,0.485,81.983
2015-07-18,2.093,2151.562,0.362,44.165,0.718,143.381,0.527,1158.205,1.956,1416.724,0.485,81.851
2015-07-19,1.855,1527.805,0.375,48.774,0.717,140.409,0.515,1087.805,2.011,1654.261,0.479,79.359
2015-07-20,1.667,1049.266,0.382,51.385,0.715,138.269,0.483,884.4,1.974,1492.713,0.472,76.059
2015-07-21,1.546,770.816,0.388,54.203,0.719,144.278,0.448,691.407,1.921,1279.879,0.465,73.327
2015-07-22,1.489,661.233,0.389,54.653,0.716,139.851,0.43,602.369,1.903,1198.778,0.462,71.808
2015-07-23,1.548,775.404,0.39,54.804,0.728,163.749,0.423,568.813,1.865,1018.462,0.453,68.223
2015-07-24,1.528,734.874,0.386,53.159,0.826,391.7,0.433,617.551,1.818,816.449,0.45,67.134
2015-07-25,1.578,839.674,0.379,50.192,0.879,562.91,0.466,789.282,1.786,695.083,0.67,183.951
2015-07-26,1.5,682.144,0.373,48.072,0.878,558.463,0.465,782.169,1.775,656.983,1.174,495.2
2015-07-27,1.467,619.365,0.369,46.364,0.852,469.946,0.441,658.808,1.763,616.062,1.315,613.823
2015-07-28,1.423,539.814,0.368,45.972,0.883,581.699,0.423,569.023,1.758,597.684,1.286,587.819
2015-07-29,1.399,495.381,0.369,46.363,0.906,677.401,0.406,497.004,1.79,708.92,1.114,448.862
2015-07-30,1.369,442.99,0.37,46.723,0.903,665.757,0.42,559.706,1.782,679.488,0.938,330.554
2015-07-31,1.341,389.014,0.371,47.208,0.89,607.973,0.522,1133.718,1.754,583.664,0.81,255.313
2015-08-01,1.321,351.98,0.371,47.075,0.894,624.181,0.538,1231.682,1.726,497.781,0.735,214.939
2015-08-02,1.304,322.986,0.37,46.841,0.896,633.288,0.526,1154.609,1.706,439.954,0.674,185.022
2015-08-03,1.288,294.655,0.37,46.877,0.911,699.18,0.526,1150.49,1.734,530.095,0.617,155.031
2015-08-04,1.283,286.515,0.371,47.295,0.925,763.604,0.522,1129.174,1.868,1033.99,0.573,127.6
2015-08-05,1.285,289.329,0.381,51.264,0.926,772.503,0.515,1083.945,1.876,1066.183,0.564,122.695
2015-08-06,1.314,341.874,0.427,75.867,0.932,796.622,0.508,1044.705,1.871,1044.802,0.61,150.771
2015-08-07,1.593,873.898,0.524,189.179,0.935,807.528,0.514,1077.244,1.87,1038.409,0.635,166.428
2015-08-08,1.601,891.517,0.572,266.66,0.943,837.756,0.517,1098.009,1.864,1009.667,0.601,145.185
2015-08-09,1.511,711.31,0.593,309.303,0.943,837.611,0.519,1108.508,1.854,965.093,0.556,118.321
2015-08-10,1.33,370.194,0.606,338.033,0.945,847.46,0.524,1138.67,1.852,958.112,0.527,102.242
2015-08-11,1.277,275.306,0.614,357.842,0.943,839.72,0.523,1137.354,1.858,983.038,0.504,90.972
2015-08-12,1.264,253.097,0.636,403.336,0.947,851.984,0.523,1136.82,1.862,1004.755,0.484,81.678
2015-08-13,1.287,293.258,0.67,468.359,0.947,855.469,0.522,1128.458,1.868,1028.471,0.482,80.49
2015-08-14,1.269,261.45,0.672,473.144,0.945,846.624,0.519,1109.241,1.873,1050.781,0.507,92.419
2015-08-15,1.246,220.102,0.657,442.595,0.936,810.73,0.517,1096.545,1.872,1049.684,0.516,96.561
2015-08-16,1.236,202.807,0.657,441.979,0.939,825.105,0.518,1101.891,1.873,1052.551,0.512,94.693
2015-08-17,1.23,193.401,0.662,452.105,0.941,830.725,0.52,1116.758,1.869,1034.116,0.497,87.296
2015-08-18,1.225,184.296,0.667,462.198,0.941,831.991,0.522,1127.579,1.867,1023.423,0.475,77.667
2015-08-19,1.218,174.557,0.671,469.807,0.944,841.874,0.52,1117.944,1.867,1025.732,0.455,68.95
2015-08-20,1.215,169.187,0.675,478.056,0.944,843.769,0.52,1117.002,1.872,1048.619,0.437,61.843
2015-08-21,1.208,159.058,0.688,505.339,0.944,843.28,0.518,1105.623,1.877,1070.071,0.422,56.375
2015-08-22,1.222,181.246,0.694,518.406,0.947,853.831,0.524,1138.281,1.882,1094.51,0.412,53.154
2015-08-23,1.278,279.02,0.699,531.311,0.944,843.99,0.519,1110.261,1.894,1152.177,0.488,83.663
2015-08-24,2.953,5050.375,0.704,542.14,0.947,852.894,0.492,938.866,1.897,1167.793,0.42,55.802
2015-08-25,4.731,11845.211,0.706,545.923,0.947,853.184,0.469,800.339,1.916,1256.801,0.4,48.062
2015-08-26,3.946,8227.366,0.706,545.956,0.944,843.71,0.466,784.906,1.936,1339.196,0.395,44.708
2015-08-27,2.945,4450.047,0.705,543.74,0.945,845.03,0.459,746.75,1.907,1214.19,0.393,43.502
2015-08-28,2.386,2896.644,0.706,545.338,0.943,838.631,0.431,606.254,1.863,1006.331,0.387,39.925
2015-08-29,2.615,3524.978,0.706,545.444,0.942,832.99,0.446,683.589,1.833,877.471,0.374,33.166
2015-08-30,3.286,5510.805,0.705,544.407,0.942,834.059,0.442,660.87,1.821,829.399,0.358,26.39
2015-08-31,2.89,4293.378,0.705,543.836,0.948,858.169,0.427,586.034,1.802,754.426,0.344,20.961
2015-09-01,2.118,2212.738,0.706,546.59,0.945,847.71,0.41,511.543,1.776,657.897,0.333,17.395
2015-09-02,2.509,3215.407,0.709,552.671,0.944,841.396,0.383,420.82,1.78,674.133,0.32,13.762
2015-09-03,2.672,3644.977,0.709,552.947,0.885,625.491,0.361,357.981,1.781,678.596,0.308,11.081
2015-09-04,2.62,3499.609,0.708,550.676,0.729,185.011,0.345,317.644,1.765,622.628,0.298,9.423
2015-09-05,2.594,3430.218,0.706,545.562,1.197,2410.266,0.33,285.52,1.749,568.655,0.288,7.938
2015-09-06,2.577,3385.012,0.705,543.743,1.36,3851.276,0.318,260.6,1.726,496.984,0.27,5.956
2015-09-07,2.506,3199.102,0.704,541.996,1.423,4553.652,0.312,248.334,1.705,436.976,0.25,4.841
2015-09-08,2.01,1930.2,0.704,542.34,1.45,4869.935,0.316,256.444,1.687,385.869,0.228,3.947
